#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1432,Brewer Hicklen,676551,676551,20450,11477,*04eii*,MIL,OF,OF,Hicklen,Brewer,Hicklen,Brewer
1433,Josh Fleming,676596,676596,20418,10958,*04egq*,PIT,RP,RP,Fleming,Josh,Fleming,Josh
1434,Tyler Zuber,676604,676604,20379,10936,,TB,RP,RP,Zuber,Tyler,Zuber,Tyler
1435,Jose Caballero,676609,676609,23401,11786,*04eig*,TB,2B/SS,2B/SS/ 3B,Caballero,Jose,Caballero,José
1436,Riley O’Brien,676617,676617,20348,11162,*04ej3*,STL,RP,RP,O’Brien,Riley,O’Brien,Riley
1437,Rylan Bannon,676625,676625,19768,11132,*04eiz*,NYM,3B,3B,Bannon,Rylan,Bannon,Rylan
1438,Tyreque Reed,676627,676627,sa3004163,10433,*04ejh*,BOS,1B,1B,Reed,Tyreque,,
1439,Mark Contreras,676628,676628,20122,11465,,BOS,OF,OF,Contreras,Mark,Contreras,Mark
1440,Bligh Madris,676632,676632,20054,11500,*04ejw*,DET,OF,1B/OF,Madris,Bligh,Madris,Bligh
1441,Beau Sulser,676641,676641,23420,11458,,TOR,RP,RP,Sulser,Beau,Sulser,Beau
1442,Zach Reks,676646,676646,19667,11052,,SD,OF,OF,Reks,Zach,Reks,Zach
1443,JP Sears,676664,676664,23429,11401,,OAK,SP,SP,Sears,JP,Sears,JP
1444,Tom Cosgrove,676680,676680,23443,11699,*04elu*,SD,RP,RP,Cosgrove,Tom,Cosgrove,Tom
1445,Will Vest,676684,676684,19769,11186,*04em6*,DET,RP,RP,Vest,Will,Vest,Will
1446,Ricky Karcher,676689,676689,23449,11697,*04emj*,ARI,RP,RP,Karcher,Ricky,Karcher,Ricky
1447,Jake Meyers,676694,676694,20308,10999,*04emt*,HOU,OF,OF,Meyers,Jake,Meyers,Jake
1448,Hunter Stratton,676702,676702,23455,11857,*04eoy*,PIT,RP,RP,Stratton,Hunter,Stratton,Hunter
1449,Ty Tice,676709,676709,20177,10582,,WSH,RP,RP,Tice,Ty,Tice,Ty
1450,Kutter Crawford,676710,676710,20531,11283,*04ep8*,BOS,SP,SP,Crawford,Kutter,Crawford,Kutter
1451,Brandon Hughes,676714,676714,23460,11471,*04eon*,ARI,RP,RP,Hughes,Brandon,Hughes,Brandon
1452,Tommy Romero,676720,676720,23465,11316,*04eoc*,SF,SP,SP,Romero,Tommy,Romero,Tommy
1453,Jared Young,676724,676724,20404,11573,*04eoj*,STL,1B,1B,Young,Jared,Young,Jared
1454,Mason Martin,676733,676733,sa3004885,10907,,LAA,1B,1B,Martin,Mason,Martin,Mason
1455,Isaac Mattson,676755,676755,20385,10604,,PIT,RP,RP,Mattson,Isaac,Mattson,Isaac
1456,Korry Howell,676759,676759,sa3008238,10407,*04era*,SD,OF,OF,Howell,Korry,Howell,Korry
1457,Ron Marinaccio,676760,676760,23488,11392,*04erc*,NYY,RP,RP,Marinaccio,Ron,Marinaccio,Ron
1458,Nick Snyder,676766,676766,23493,11264,*04ern*,PHI,RP,RP,Snyder,Nick,Snyder,Nick
1459,Keaton Winn,676775,676775,23499,11680,*04esc*,SF,SP,SP,Winn,Keaton,Winn,Keaton
1460,Chas McCormick,676801,676801,19599,10007,*04esz*,HOU,OF,OF,McCormick,Chas,McCormick,Chas
1461,Kodi Whitley,676831,676831,19731,10723,*059zn*,ATL,RP,RP,Whitley,Kodi,Whitley,Kodi
1462,Matt Peacock,676840,676840,20339,11153,*04euc*,TOR,RP,RP,Peacock,Matt,Peacock,Matt
1463,Aaron Ashby,676879,676879,23550,10372,*04ew7*,MIL,SP,SP,Ashby,Aaron,Ashby,Aaron
1464,Chandler Seagle,676882,676882,23552,11882,,SD,C,C,Seagle,Chandler,Seagle,Chandler
1465,Davis Schneider,676914,676914,23565,11838,*04o2x*,TOR,2B/OF,2B/OF,Schneider,Davis,Schneider,Davis
1466,Cade Cavalli,676917,676917,27473,10971,*05gef*,WSH,SP,SP,Cavalli,Cade,Cavalli,Cade
1467,Matthew Batten,676946,676946,20157,10595,*052im*,SD,2B,1B/2B/ 3B,Batten,Matthew,Batten,Matthew
1468,Caleb Boushley,676961,676961,19736,11880,*060hu*,MIN,SP,SP,Boushley,Caleb,Boushley,Caleb
1469,Ben Brown,676962,676962,23590,11935,*04o2w*,CHC,SP,SP,Brown,Ben,Brown,Ben
1470,Brett de Geus,676969,676969,23592,11072,*0524m*,SEA,RP,RP,de Geus,Brett,de Geus,Brett
1471,Max Meyer,676974,676974,27474,10832,*05a2d*,MIA,SP,SP,Meyer,Max,Meyer,Max
1472,Garrett Crochet,676979,676979,27463,10900,*05ajh*,CHW,SP,SP,Crochet,Garrett,Crochet,Garrett
1473,Heston Kjerstad,677008,677008,31166,11771,*0596f*,BAL,DH,OF,Kjerstad,Heston,Kjerstad,Heston
1474,Josh Walker,677020,677020,23617,11793,*05u2x*,NYM,RP,RP,Walker,Josh,Walker,Josh
1475,Andrew Nardi,677053,677053,25942,11536,*051c3*,MIA,RP,RP,Nardi,Andrew,Nardi,Andrew
1476,Zack Kelly,677161,677161,20349,11551,*05r1z*,BOS,SP,SP,Kelly,Zack,Kelly,Zack
1477,Kyren Paris,677347,677347,26420,11090,*050s0*,LAA,2B/SS,2B/SS,Paris,Kyren,Paris,Kyren
1478,Wander Franco,677551,677551,23667,10360,*04csx*,TB,SS,SS,Franco,Wander,Franco,Wander
1479,Kristian Robinson,677565,677565,sa3006884,10267,*04g7l*,ARI,OF,OF,Robinson,Kristian,Robinson,Kristian
1480,Aaron Bracho,677570,677570,sa3010018,10117,*04l97*,CLE,2B,2B,Bracho,Aaron,Bracho,Aaron
1481,Brayan Rocchio,677587,677587,23690,10379,*04si3*,CLE,SS,SS/3B,Rocchio,Brayan,Rocchio,Brayan
1482,Jose Tena,677588,677588,23691,11383,*04sxv*,CLE,SS,SS,Tena,Jose,Tena,José
1483,Everson Pereira,677592,677592,23695,10197,*04is5*,NYY,OF,OF,Pereira,Everson,Pereira,Everson
1484,Julio Rodriguez,677594,677594,23697,10260,*04fhb*,SEA,OF,OF,Rodriguez,Julio,Rodríguez,Julio
1485,Ronny Mauricio,677595,677595,23698,10318,*04fyo*,NYM,2B,2B/3B,Mauricio,Ronny,Mauricio,Ronny
1486,Miguel Hiraldo,677599,677599,sa3005486,10291,*04l80*,TOR,SS,SS,Hiraldo,Miguel,Hiraldo,Miguel
1487,D’Shawn Knowles,677610,677610,sa3006889,10387,*04n0j*,LAA,OF,OF,Knowles,D’Shawn,Knowles,D’Shawn
1488,Eddy Diaz,677647,677647,sa3004979,10391,*04mtj*,COL,SS,SS,Diaz,Eddy,Diaz,Eddy
1489,Ezequiel Duran,677649,677649,23733,11370,*04nqx*,TEX,1B/SS/ 3B/OF,1B/SS/ 3B/OF,Duran,Ezequiel,Duran,Ezequiel
1490,Luis Garcia,677651,677651,23735,11003,*04ni3*,HOU,SP,SP,Garcia,Luis,Garcia,Luis
1491,Wilyer Abreu,677800,677800,23772,11709,*060×1*,BOS,OF,OF,Abreu,Wilyer,Abreu,Wilyer
1492,Justin Bruihl,677865,677865,23779,11258,*05k3i*,PIT,RP,RP,Bruihl,Justin,Bruihl,Justin
1493,Jordyn Adams,677941,677941,23788,10252,*04pkp*,LAA,OF,OF,Adams,Jordyn,Adams,Jordyn
1494,Blaze Alexander,677942,677942,23789,10142,*04pvs*,ARI,2B/SS,2B/SS,Alexander,Blaze,Alexander,Blaze
1495,Will Banfield,677943,677943,sa3007973,10830,*04n1p*,MIA,C,C,Banfield,Will,Banfield,Will
1496,Slade Cecconi,677944,677944,27500,11836,*04tk1*,ARI,SP,SP,Cecconi,Slade,Cecconi,Slade
1497,Ethan Hankins,677945,677945,sa3008589,10195,*04lls*,CLE,SP,SP,Hankins,Ethan,Hankins,Ethan
1498,Alek Thomas,677950,677950,23792,10126,*04pmw*,ARI,OF,OF,Thomas,Alek,Thomas,Alek
1499,Bobby Witt Jr.,677951,677951,25764,10932,*04lgp*,KC,SS,SS,Witt Jr.,Bobby,Witt Jr.,Bobby
1500,Jordan Groshans,677954,677954,23794,10250,*04n8x*,OAK,3B,3B,Groshans,Jordan,Groshans,Jordan
1501,Rece Hinds,677956,677956,sa1169587,11113,*04nb4*,CIN,SS,SS,Hinds,Rece,Hinds,Rece
1502,Ryan Weathers,677960,677960,23796,10325,*04mnw*,MIA,SP,SP,Weathers,Ryan,Weathers,Ryan
1503,Cole Wilcox,677961,677961,sa3014443,11097,*04n0o*,TB,SP,SP,Wilcox,Cole,Wilcox,Cole
1504,Randy Dobnak,677976,677976,23798,10667,*0506h*,MIN,RP,RP,Dobnak,Randy,Dobnak,Randy
1505,Parker Meadows,678009,678009,23800,10307,*04pmn*,DET,OF,OF,Meadows,Parker,Meadows,Parker
1506,Nick Schnell,678010,678010,sa3007639,10300,*04pm9*,TB,OF,OF,Schnell,Nick,Schnell,Nick
1507,Anthony Seigler,678011,678011,sa3006894,10136,*04pkq*,NYY,C,C,Seigler,Anthony,Seigler,Anthony
1508,Mike Vasil,678024,678024,sa3017915,11904,*04ok0*,NYM,SP,SP,Vasil,Mike,Vasil,Mike
1509,Ray Kerr,678061,678061,23809,11334,*05r9n*,ATL,RP,RP,Kerr,Ray,Kerr,Ray
1510,Ji Hwan Bae,678225,678225,23818,10013,,PIT,2B/OF,2B/OF,Bae,Ji Hwan,Bae,Ji Hwan
1511,Daysbel Hernandez,678226,678226,20271,11832,*051z5*,ATL,RP,RP,Hernandez,Daysbel,Hernández,Daysbel
1512,Miguel Vargas,678246,678246,20178,10417,*04ru7*,LAD,2B/OF,2B/OF,Vargas,Miguel,Vargas,Miguel
1513,Valente Bellozo,678368,678368,23899,12117,*052c7*,MIA,SP,SP,Bellozo,Valente,Bellozo,Valente
1514,Jorbit Vivas,678391,678391,sa3005511,11398,*05a1t*,NYY,2B,2B,Vivas,Jorbit,Vivas,Jorbit
1515,Brayan Bello,678394,678394,23920,11362,*04t40*,BOS,SP,SP,Bello,Brayan,Bello,Brayan
1516,Jorge Barrosa,678489,678489,23968,11665,*04mrb*,ARI,OF,OF,Barrosa,Jorge,Barrosa,Jorge
1517,Osleivis Basabe,678545,678545,23985,11691,*04ni5*,TB,SS,SS,Basabe,Osleivis,Basabe,Osleivis
1518,Curtis Mead,678554,678554,23986,11606,*05ahe*,TB,2B/3B,2B/3B,Mead,Curtis,Mead,Curtis
1519,Jose A. Ferrer,678606,678606,24017,11662,,WSH,RP,RP,Ferrer,Jose A.,Ferrer,Jose A.
1520,Ezequiel Tovar,678662,678662,24064,11346,*04mra*,COL,SS,SS,Tovar,Ezequiel,Tovar,Ezequiel
1521,Luis Toribio,678681,678681,sa3005541,11103,*04qg4*,SF,3B,3B,Toribio,Luis,Toribio,Luis
1522,Ronny Henriquez,678692,678692,24094,11371,*04tzu*,MIN,RP,RP,Henriquez,Ronny,Henriquez,Ronny
1523,Jhonkensy Noel,678877,678877,24257,11382,*04yrs*,CLE,1B,1B,Noel,Jhonkensy,Noel,Jhonkensy
1524,Ceddanne Rafaela,678882,678882,24262,11628,*05gsi*,BOS,SS/OF,SS/OF,Rafaela,Ceddanne,Rafaela,Ceddanne
1525,Liover Peguero,678894,678894,24273,11096,*04ol2*,PIT,2B/SS,2B/SS,Peguero,Liover,Peguero,Liover
1526,Kai-Wei Teng,678906,678906,24282,11988,*04zay*,SF,SP,SP,Teng,Kai-Wei,Teng,Kai-Wei
1527,Johan Rojas,679032,679032,24336,11643,*04w4e*,PHI,OF,OF,Rojas,Johan,Rojas,Johan
1528,Edgar Navarro,679346,679346,24363,11835,*06avu*,CHW,RP,RP,Navarro,Edgar,Navarro,Edgar
1529,Alec Marsh,679525,679525,27451,11144,*0512c*,KC,SP,SP,Marsh,Alec,Marsh,Alec
1530,Spencer Torkelson,679529,679529,27465,10831,*04yk2*,DET,1B,1B,Torkelson,Spencer,Torkelson,Spencer
1531,Jose Rodriguez,679563,679563,24388,11659,*05gcy*,PHI,2B,2B,Rodriguez,Jose,Rodríguez,José
1532,Terrin Vavra,679631,679631,24400,10429,*04xon*,BAL,DH,OF,Vavra,Terrin,Vavra,Terrin
1533,Justin Foscue,679822,679822,27501,11770,*05gsg*,TEX,2B,2B,Foscue,Justin,Foscue,Justin
1534,Nick Loftin,679845,679845,27630,11612,*05gx0*,KC,1B/2B,1B/2B,Loftin,Nick,Loftin,Nick
1535,J.P. Martinez,679881,679881,24451,10012,,ATL,OF,OF,Martinez,J.P.,Martínez,J.P.
1536,Justin Martinez,679885,679885,24453,11666,*05acp*,ARI,RP,RP,Martinez,Justin,Martinez,Justin
1537,Dairon Blanco,680118,680118,19779,11474,*04mkt*,KC,OF,OF,Blanco,Dairon,Blanco,Dairon
1538,Jackson Wolf,680232,680232,29832,11831,*05xpr*,SD,SP,SP,Wolf,Jackson,Wolf,Jackson
1539,Tyler Cropley,680418,680418,24485,11862,*04pti*,KC,C,C,Cropley,Tyler,Cropley,Tyler
1540,Max Schuemann,680474,680474,24488,11427,*04q24*,OAK,SS,SS,Schuemann,Max,Schuemann,Max
1541,Travis Swaggerty,680552,680552,24491,10348,*04mn3*,LAD,OF,OF,Swaggerty,Travis,Swaggerty,Travis
1542,Grayson Rodriguez,680570,680570,24492,10207,*04pko*,BAL,SP,SP,Rodriguez,Grayson,Rodriguez,Grayson
1543,Adam Kloffenstein,680572,680572,24493,10120,*04ppt*,STL,RP,RP,Kloffenstein,Adam,Kloffenstein,Adam
1544,Simeon Woods Richardson,680573,680573,24494,10335,,MIN,SP,SP,Woods Richardson,Simeon,Woods Richardson,Simeon
1545,Matt McLain,680574,680574,29695,11613,*04pks*,CIN,2B/SS,2B/SS,McLain,Matt,McLain,Matt
1546,DaShawn Keirsey Jr.,680577,680577,sa3007301,10388,,MIN,OF,OF,Keirsey Jr.,DaShawn,Keirsey Jr.,DaShawn
1547,Julio Rodriguez,680588,680588,sa3007992,10881,,SF,RP,RP,Rodriguez,Julio,,
1548,Jameson Hannah,680683,680683,sa3007046,10227,*04pmh*,COL,OF,OF,Hannah,Jameson,Hannah,Jameson
1549,Josiah Gray,680686,680686,24580,10259,*04pn3*,WSH,SP,SP,Gray,Josiah,Gray,Josiah
1550,Lyon Richardson,680689,680689,24581,11143,*04pmo*,CIN,RP,RP,Richardson,Lyon,Richardson,Lyon
1551,Jonathan Stiever,680692,680692,24584,10904,*04pqt*,CHW,SP,SP,Stiever,Jonathan,Stiever,Jonathan
1552,Grant Lavigne,680693,680693,sa3007743,10206,*04pmf*,COL,1B,1B,Lavigne,Grant,Lavigne,Grant
1553,Kyle Bradish,680694,680694,24586,11099,*04pq4*,BAL,SP,SP,Bradish,Kyle,Bradish,Kyle
1554,Brennen Davis,680695,680695,sa3007876,10380,*04pmv*,CHC,OF,OF,Davis,Brennen,Davis,Brennen
1555,Richie Palacios,680700,680700,24589,10425,*04ppk*,TB,2B/OF,2B/OF,Palacios,Richie,Palacios,Richie
1556,Joey Gerber,680702,680702,24591,10827,*04pta*,NYY,RP,RP,Gerber,Joey,Gerber,Joey
1557,Nick Sandlin,680704,680704,20517,10930,*04pmm*,CLE,RP,RP,Sandlin,Nick,Sandlin,Nick
1558,Cole Roederer,680711,680711,sa3008184,10386,*04pn0*,CHC,OF,OF,Roederer,Cole,Roederer,Cole
1559,Jonathan Ornelas,680716,680716,24597,10249,*04tjk*,TEX,SS,SS,Ornelas,Jonathan,Ornelas,Jonathan
1560,Addison Barger,680718,680718,24598,11596,*04qii*,TOR,OF,OF,Barger,Addison,Barger,Addison
1561,Drew Rom,680723,680723,24602,11706,*04pqd*,STL,SP,SP,Rom,Drew,Rom,Drew
1562,Mitchell Parker,680730,680730,27636,11970,*05jqy*,WSH,SP,SP,Parker,Mitchell,Parker,Mitchell
1563,Sean Burke,680732,680732,sa3017461,11755,*05xod*,CHW,RP,RP,Burke,Sean,Burke,Sean
1564,Austin Cox,680735,680735,24604,10934,*04pra*,KC,RP,RP,Cox,Austin,Cox,Austin
1565,Michael Helman,680737,680737,sa3008280,10608,*04pvp*,MIN,2B,2B,Helman,Michael,Helman,Michael
1566,Josh Winder,680739,680739,24606,11312,*04psd*,MIN,RP,RP,Winder,Josh,Winder,Josh
1567,Jonathan Bowlan,680742,680742,24607,11388,*04pmg*,KC,SP,SP,Bowlan,Jonathan,Bowlan,Jonathan
1568,Ty Madden,680744,680744,sa3018141,11918,*05oqe*,DET,SP,SP,Madden,Ty,Madden,Ty
1569,Steven Kwan,680757,680757,24610,11315,*04pr1*,CLE,OF,OF,Kwan,Steven,Kwan,Steven
1570,Victor Vodnik,680767,680767,24614,11861,*04pxp*,COL,RP,RP,Vodnik,Victor,Vodnik,Victor
1571,CJ Alexander,680769,680769,20557,10385,*04q23*,KC,3B,3B,Alexander,CJ,Alexander,CJ
1572,Jarren Duran,680776,680776,24617,10824,*04pst*,BOS,OF,OF,Duran,Jarren,Duran,Jarren
1573,Ryan Jeffers,680777,680777,24618,10946,*04pmu*,MIN,C,C,Jeffers,Ryan,Jeffers,Ryan
1574,Henry Davis,680779,680779,29617,11742,*05oxc*,PIT,C/OF,C/OF,Davis,Henry,Davis,Henry
1575,Peyton Burdick,680814,680814,25459,11527,*0512l*,CIN,OF,OF,Burdick,Peyton,Burdick,Peyton
1576,Ryan Fitzgerald,680837,680837,sa3006218,11436,,KC,SS,SS,Fitzgerald,Ryan,Fitzgerald,Ryan
1577,Willie MacIver,680862,680862,sa3007828,11078,*04ptr*,COL,C,C,MacIver,Willie,MacIver,Willie
1578,Zack Gelof,680869,680869,29766,11624,*05ub0*,OAK,2B,2B,Gelof,Zack,Gelof,Zack
1579,Spencer Schwellenbach,680885,680885,31846,12096,*05tq1*,ATL,SP,SP,Schwellenbach,Spencer,Schwellenbach,Spencer
1580,Nick Nastrini,680897,680897,29833,11900,*05wbp*,CHW,SP,SP,Nastrini,Nick,Nastrini,Nick
1581,Owen Miller,680911,680911,24655,10423,*04ppl*,MIL,1B/2B/ 3B,1B/2B/ 3B/OF,Miller,Owen,,
1582,Franco Aleman,680916,680916,sa3018178,12032,*05y5l*,CLE,SP,SP,Aleman,Franco,Aleman,Franco
1583,Cody Wilson,680963,680963,24671,11206,*04pxa*,WSH,OF,OF,Wilson,Cody,Wilson,Cody
1584,Brendan Donovan,680977,680977,24679,11357,*04pse*,STL,2B/OF,1B/2B/ OF,Donovan,Brendan,Donovan,Brendan
1585,Kelvin Caceres,680983,680983,24681,11879,*06144*,LAA,RP,RP,Caceres,Kelvin,Caceres,Kelvin
1586,Christian Scott,681035,681035,30107,11912,*05xpq*,NYM,SP,SP,Scott,Christian,Scott,Christian
1587,Bryson Stott,681082,681082,26294,11086,*04p10*,PHI,2B/SS,2B/SS,Stott,Bryson,Stott,Bryson
1588,Jonah Bride,681146,681146,24703,11339,*04q5b*,MIA,3B,3B,Bride,Jonah,Bride,Jonah
1589,Jayden Murray,681151,681151,sa1170405,11758,*051i0*,HOU,SP,SP,Murray,Jayden,Murray,Jayden
1590,Randy Vasquez,681190,681190,24719,11677,*05itb*,SD,SP,SP,Vasquez,Randy,Vásquez,Randy
1591,Chase Silseth,681217,681217,30074,11468,*05xsm*,LAA,SP,SP,Silseth,Chase,Silseth,Chase
1592,Spencer Arrighetti,681293,681293,29921,12020,*05y0j*,HOU,SP,SP,Arrighetti,Spencer,Arrighetti,Spencer
1593,Colton Cowser,681297,681297,29591,11609,*05ras*,BAL,OF,OF,Cowser,Colton,Cowser,Colton
1594,Mike Burrows,681347,681347,sa3008517,11619,,PIT,SP,SP,Burrows,Mike,Burrows,Mike
1595,Logan O’Hoppe,681351,681351,24729,11075,*04q56*,LAA,C,C,O’Hoppe,Logan,O’Hoppe,Logan
1596,Connor Norby,681393,681393,29592,11603,*05tce*,BAL,2B,2B,Norby,Connor,Norby,Connor
1597,Josh Green,681401,681401,sa3006701,11029,*04py0*,ARI,SP,SP,Green,Josh,Green,Josh
1598,Gus Varland,681402,681402,24737,11731,*04pxq*,LAD,RP,RP,Varland,Gus,Varland,Gus
1599,Luke Little,681432,681432,28036,11858,*05koh*,CHC,RP,RP,Little,Luke,Little,Luke
1600,Kerry Carpenter,681481,681481,25961,11530,*051em*,DET,OF,OF,Carpenter,Kerry,Carpenter,Kerry
1601,Kyle Leahy,681517,681517,24763,11822,*04q08*,STL,RP,RP,Leahy,Kyle,Leahy,Kyle
1602,Antoine Kelly,681520,681520,sa3011135,10991,*04px1*,TEX,SP,SP,Kelly,Antoine,Kelly,Antoine
1603,Bryan Lavastida,681526,681526,24765,11329,*04pyv*,CLE,C,C,Lavastida,Bryan,Lavastida,Bryan
1604,James Outman,681546,681546,24770,11399,*04psu*,LAD,OF,OF,Outman,James,Outman,James
1605,David Villar,681584,681584,24782,11510,*04pvh*,SF,2B,2B/3B,Villar,David,Villar,David
1606,Andy Pages,681624,681624,24816,11682,*04ru5*,LAD,OF,OF,Pages,Andy,Pages,Andy
1607,Ethan Roberts,681799,681799,24930,11361,*04pql*,CHC,RP,RP,Roberts,Ethan,Roberts,Ethan
1608,Andrew Wantz,681806,681806,24933,11233,*04psq*,LAA,RP,RP,Wantz,Andrew,Wantz,Andrew
1609,David Fry,681807,681807,24934,11789,*04psr*,CLE,C/OF,C/1B/ OF,Fry,David,Fry,David
1610,Chris Vallimont,681808,681808,24935,11365,,LAD,RP,RP,Vallimont,Chris,Vallimont,Chris
1611,Austin Warren,681810,681810,24937,11246,*04prz*,SF,RP,RP,Warren,Austin,Warren,Austin
1612,Reese Olson,681857,681857,24968,11594,*04px8*,DET,SP,SP,Olson,Reese,Olson,Reese
1613,Cooper Criswell,681867,681867,24975,11270,*04px6*,BOS,SP,SP,Criswell,Cooper,Criswell,Cooper
1614,Shawn Dubin,681869,681869,24977,11002,*04pxb*,HOU,RP,RP,Dubin,Shawn,Dubin,Shawn
1615,Colin Selby,681882,681882,24986,11669,*04q7i*,KC,RP,RP,Selby,Colin,Selby,Colin
1616,Evan Lee,681885,681885,24988,11338,*04pyc*,WSH,RP,RP,Lee,Evan,Lee,Evan
1617,Kody Funderburk,681892,681892,24993,11850,*04pyp*,MIN,RP,RP,Funderburk,Kody,Funderburk,Kody
1618,Alex Vesia,681911,681911,25007,10784,*04q05*,LAD,RP,RP,Vesia,Alex,Vesia,Alex
1619,Vinny Capra,681962,681962,25040,11460,*04q26*,MIL,SS,SS,Capra,Vinny,Capra,Vinny
1620,Grant Anderson,681982,681982,20546,11799,*04q3y*,TEX,RP,RP,Anderson,Grant,Anderson,Grant
1621,Nate Eaton,681987,681987,25055,11515,,KC,OF,OF,Eaton,Nate,Eaton,Nate
1622,Lane Ramsey,682010,682010,25071,11839,*04q57*,CHW,RP,RP,Ramsey,Lane,Ramsey,Lane
1623,William Woods,682016,682016,25075,11337,*04q5a*,NYM,SP,SP,Woods,William,Woods,William
1624,Garrett Hill,682051,682051,25097,11507,,DET,RP,RP,Hill,Garrett,Hill,Garrett
1625,Jacob Lopez,682052,682052,25098,11841,*051ui*,TB,RP,RP,Lopez,Jacob,Lopez,Jacob
1626,David Hensley,682073,682073,25111,11542,*04vnd*,HOU,DH,2B,Hensley,David,Hensley,David
1627,Levi Jordan,682119,682119,25138,12114,,CIN,2B,2B,Jordan,Levi,Jordan,Levi
1628,Tim Herrin,682120,682120,25139,11676,*061jc*,CLE,RP,RP,Herrin,Tim,Herrin,Tim
1629,Evan Reifert,682126,682126,sa3014860,11630,*05y0r*,TB,RP,RP,Reifert,Evan,Reifert,Evan
1630,Jack Patterson,682163,682163,sa3007860,10918,*052ck*,CHC,RP,RP,Patterson,Jack,Patterson,Jack
1631,Penn Murfee,682171,682171,25174,11139,*05a07*,HOU,RP,RP,Murfee,Penn,Murfee,Penn
1632,Joe Jacques,682175,682175,25178,11806,*06c33*,ARI,RP,RP,Jacques,Joe,Jacques,Joe
1633,Daniel Schneemann,682177,682177,25180,12098,*06bs4*,CLE,2B/OF,2B/OF,Schneemann,Daniel,Schneemann,Daniel
1634,Kody Hoese,682210,682210,sa3010021,11050,*04zjm*,LAD,3B,3B,Hoese,Kody,Hoese,Kody
1635,Brandon Williamson,682227,682227,25463,10877,*05120*,CIN,SP,SP,Williamson,Brandon,Williamson,Brandon
1636,Bryce Miller,682243,682243,29837,11636,*05vy6*,SEA,SP,SP,Miller,Bryce,Miller,Bryce
1637,Mason Montgomery,682254,682254,sa3017306,11621,*05y2k*,TB,SP,SP,Montgomery,Mason,Montgomery,Mason
1638,Jackson Rees,682448,682448,sa3007818,10713,*04y7y*,TOR,RP,RP,Rees,Jackson,Rees,Jackson
1639,Logan Porter,682515,682515,20626,11865,*05j94*,SF,C,C,Porter,Logan,Porter,Logan
1640,Roddery Munoz,682610,682610,25311,11646,*05ss9*,MIA,SP,SP,Munoz,Roddery,Muñoz,Roddery
1641,Diego Cartaya,682616,682616,sa3008742,10389,*04p0h*,LAD,C,C,Cartaya,Diego,Cartaya,Diego
1642,Marco Luciano,682617,682617,25616,10415,*04ooy*,SF,SS,SS,Luciano,Marco,Luciano,Marco
1643,Misael Urbina,682618,682618,sa3008743,10418,*04qou*,MIN,OF,OF,Urbina,Misael,Urbina,Misael
1644,Orelvis Martinez,682619,682619,25967,10420,*04mms*,TOR,SS,SS,Martinez,Orelvis,Martinez,Orelvis
1645,Richard Gallardo,682620,682620,sa3009990,10424,*04qnb*,CHC,SP,SP,Gallardo,Richard,Gallardo,Richard
1646,Gabriel Rodriguez,682621,682621,sa3008744,10396,*04qov*,CLE,SS,SS,Rodriguez,Gabriel,Rodriguez,Gabriel
1647,Noelvi Marte,682622,682622,26517,10419,*04qnd*,CIN,3B,3B,Marte,Noelvi,Marte,Noelvi
1648,Francisco Alvarez,682626,682626,26121,11118,*04qnc*,NYM,C,C,Alvarez,Francisco,Alvarez,Francisco
1649,Alvin Guzman,682630,682630,sa3008748,10376,*04rhh*,ARI,OF,OF,Guzman,Alvin,Guzman,Alvin
1650,Kevin Alcantara,682634,682634,sa3008752,10406,*04qow*,CHC,OF,OF,Alcantara,Kevin,Alcántara,Kevin
1651,Osiel Rodriguez,682640,682640,sa3009991,10421,*04mkm*,NYY,RP,RP,Rodriguez,Osiel,Rodriguez,Osiel
1652,Luis Matos,682641,682641,26467,11678,*04y11*,SF,OF,OF,Matos,Luis,Matos,Luis
1653,Alexander Ramirez,682643,682643,sa3008757,10130,*04yd0*,LAA,OF,OF,Ramirez,Alexander,Ramirez,Alexander
1654,Jairo Pomares,682646,682646,sa3010023,10399,*04ru8*,SF,OF,OF,Pomares,Jairo,Pomares,Jairo
1655,Malcom Nunez,682650,682650,sa3008113,10413,*04rzr*,PIT,1B,1B,Nunez,Malcom,Nunez,Malcom
1656,Luisangel Acuna,682668,682668,sa3008765,11614,*04z6k*,NYM,SS,SS,Acuna,Luisangel,Acuña,Luisangel
1657,Jonatan Clase,682729,682729,26599,11656,*057zc*,SEA,OF,OF,Clase,Jonatan,Clase,Jonatan
1658,Wikelman Gonzalez,682790,682790,sa3008687,11953,*052ht*,BOS,SP,SP,Gonzalez,Wikelman,Gonzalez,Wikelman
1659,Elly De La Cruz,682829,682829,26668,11583,*05udp*,CIN,SS/3B,SS/3B,De La Cruz,Elly,De La Cruz,Elly
1660,Abner Uribe,682842,682842,25327,11664,*05nso*,MIL,RP,RP,Uribe,Abner,Uribe,Abner
1661,Luis L. Ortiz,682847,682847,27646,11572,,PIT,SP,SP,Ortiz,Luis L.,Ortiz,Luis L.
1662,Endy Rodriguez,682848,682848,25332,11584,*0529l*,PIT,C,C,Rodriguez,Endy,Rodríguez,Endy
1663,Bryan Ramos,682868,682868,25621,11658,*059bs*,CHW,3B,3B,Ramos,Bryan,Ramos,Bryan
